Title,Year,Rating
Harakiri,1962,5
12 Angry Men,1957,5
Come and See,1985,5
Seven Samurai,1954,5
High and Low,1963,5
The Godfather Part II,1974,5
The Human Condition I: No Greater Love,1959,5
City of God,2002,5
Parasite,2019,4
Schindler's List,1993,5
The Godfather,1972,5
"The Good, the Bad and the Ugly",1966,5
A Brighter Summer Day,1991,4
Le Trou,1960,4
Cinema Paradiso,1988,4
Grave of the Fireflies,1988,5
Neon Genesis Evangelion: The End of Evangelion,1997,4
The Human Condition II: Road to Eternity,1959,4
There Will Be Blood,2007,5
Paths of Glory,1957,5
The Cranes Are Flying,1957,5
The Battle of Algiers,1966,4
Apocalypse Now,1979,5
Tokyo Story,1953,5
Interstellar,2014,4
The Passion of Joan of Arc,1928,5
The Ascent,1977,4
Fanny and Alexander,1982,5
Mishima: A Life in Four Chapters,1985,4
Portrait of a Lady on Fire,2019,4
The Lord of the Rings: The Two Towers,2002,5
Sansho the Bailiff,1954,4
Close-Up,1990,4
It's a Wonderful Life,1946,5
Do the Right Thing,1989,5
The Pianist,2002,4
Nobody Knows,2004,4
Witness for the Prosecution,1957,4
Life Is Beautiful,1997,4
Persona,1966,5
Once Upon a Time in the West,1968,5
Princess Mononoke,1997,4
In the Mood for Love,2000,5
The Lord of the Rings: The Fellowship of the Ring,2001,5
Scenes from a Marriage,1974,4
Farewell My Concubine,1993,4
Where Is the Friend's House?,1987,4
Oldboy,2003,4
War and Peace,1967,5
Rear Window,1954,5
It's Such a Beautiful Day,2012,5
Apur Sansar,1959,4
Se7en,1995,5
Inglourious Basterds,2009,5
Ordet,1955,5
The Wages of Fear,1953,4
Amadeus,1984,4
Z,1969,4
Central Station,1998,4
Singin' in the Rain,1952,5
How to Make Millions Before Grandma Dies,2024,4
All That Jazz,1979,3
Judgment at Nuremberg,1961,4
Raise the Red Lantern,1991,4
I'm Still Here,2024,4
City Lights,1931,4
To Be or Not to Be,1942,4
Monster,2023,4
The Great Dictator,1940,4
Brief Encounter,1945,4
Funeral Parade of Roses,1969,4
Mirror,1975,5
Taste of Cherry,1997,4
Before Sunset,2004,5
Prisoners,2013,4
Rocco and His Brothers,1960,4
Mommy,2014,4
No Country for Old Men,2007,5
Psycho,1960,5
Werckmeister Harmonies,2000,5
Twin Peaks: Fire Walk with Me,1992,4
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,4
Children of Men,2006,5
M,1931,5
Fantastic Mr. Fox,2009,4
Opening Night,1977,3
Bicycle Thieves,1948,4
The Cremator,1969,4
La Notte,1961,4
The Elephant Man,1980,3
Children of Paradise,1945,4
Samurai Rebellion,1967,4
The Hunt,2012,4
Evangelion: 3.0+1.0 Thrice Upon a Time,2021,4
Nostalgia,1983,3
The Man Who Shot Liberty Valance,1962,4
8½,1963,5
Casablanca,1942,4
"Life, and Nothing More…",1992,4
Ace in the Hole,1951,4
The Iron Giant,1999,4
Fight Club,1999,5
La Dolce Vita,1960,4
Who's Afraid of Virginia Woolf?,1966,4
Look Back,2024,4
Rififi,1955,5
Ugetsu,1953,4
Network,1976,5
Sorcerer,1977,4
The Night of the Hunter,1955,5
Mulholland Drive,2001,5
Aparajito,1956,4
Song of the Sea,2014,4
Umberto D.,1952,4
Alien,1979,5
Metropolis,1927,5
Pulp Fiction,1994,5
Saving Private Ryan,1998,4
Anatomy of a Murder,1959,5
The Best Years of Our Lives,1946,4
Eternal Sunshine of the Spotless Mind,2004,5
Tokyo Godfathers,2003,4
The King of Comedy,1982,4
Son of the White Mare,1981,4
